record_id,nrc_number,first_name,last_name,date_of_birth,gender,district_of_origin,registration_terminal,slot_id,face_embedding_seed,is_duplicate,duplicate_type,canonical_id
REC00988,162549/45/3,Chilufya,Nkumbula,1958-12-30,F,Kafue,T003-Ndola,280271F360D5,858,True,Type5,REC00858
REC00471,924758/99/9,Martha,Moono,2008-11-26,F,Kitwe,T002-Kitwe,8945D109CE28,471,False,,
REC00385,899281/16/1,Solomon,Mvula,1948-10-12,M,Mazabuka,T001-Lusaka,27772ACAA073,385,False,,
REC00953,180832/75/5,Sbraham,Ng'andu,1989-05-19,F,Ndola,T003-Ndola,1E68FE98A95D,591,True,Type1,REC00591
REC00459,200575/16/7,Takondwa,Kamanga,1988-09-14,F,Chingola,T003-Ndola,3BAE2EA0DF97,459,False,,
REC00704,604283/81/4,Namukolo,Hichilema,1997-11-30,F,Mongu,T002-Kitwe,7C88E9C8D3BF,704,False,,
REC00648,908382/60/9,Naomi,Mutale,2007-08-26,F,Kitwe,T001-Lusaka,B8DE0E331625,648,False,,
REC00849,632195/38/8,Wamunyima,Hichilema,1961-08-05,M,Mazabuka,T003-Ndola,193AAEBC122B,849,False,,
REC00334,473095/80/7,Grace,Namoonde,1989-07-19,F,Ndola,T002-Kitwe,20DA28A48648,334,False,,
REC00223,485191/76/5,Elijah,Nkumbula,1965-05-19,M,Kasama,T001-Lusaka,AD8472A6808A,223,False,,
REC00884,232617/66/5,Kasonde,Sakala,1958-06-21,M,Ndola,T002-Kitwe,95F5803EF9E5,884,False,,
REC00286,223967/69/5,Alinafe,Mutale,1950-02-07,F,Mongu,T001-Lusaka,078263D0A1CC,286,False,,
REC00328,694316/70/5,Zulu,Mumba,1947-11-28,M,Choma,T001-Lusaka,8542C6F562B8,328,False,,
REC00462,612855/94/5,Sialubalo,Zulu,1967-10-07,M,Mazabuka,T001-Lusaka,5C0427BD9A8E,462,False,,
REC00675,830897/72/4,Naomi,Gondwe,1961-04-28,F,Ndola,T003-Ndola,6127B84D1070,675,False,,
REC00103,528361/67/8,Chisanga,Ng'andu,2009-10-10,M,Lusaka,T002-Kitwe,E455CAE86A57,103,False,,
REC00337,477400/44/2,Mulenga,Kamanga,1970-02-11,M,Kitwe,T001-Lusaka,F335EF16786E,337,False,,
REC00787,172988/86/2,Thandiwe,Kamanga,1973-08-10,F,Kafue,T003-Ndola,7B5229605065,787,False,,
REC00329,790077/14/3,Mutinta,Mutinta,1959-06-17,M,Lusaka,T002-Kitwe,FC06268040FB,329,False,,
REC00004,832052/64/6,Mutinta,Hichilema,1995-09-10,F,Ndola,T002-Kitwe,2AFE601F84AF,4,False,,
REC00316,445888/39/7,Takondwa,Chisanga,1992-05-31,F,Kafue,T003-Ndola,213298DDAB1C,316,False,,
REC00517,891615/75/2,Kapulula,Kasonde,1964-02-09,F,Livingstone,T003-Ndola,53F511C65699,517,True,Type4,REC00174
REC00431,776001/20/5,Sitwala,Sachitembe,1953-06-20,F,Lusaka,T001-Lusaka,B245E00D3F9A,431,False,,
REC00575,234443/95/4,Solomon,Mvula,1977-12-22,M,Chipata,T001-Lusaka,92697332A03B,575,False,,
REC00221,300386/46/6,Nkandu,Hichilema,1951-12-24,F,Kafue,T001-Lusaka,D9778326D1C2,221,False,,
REC00026,349565/45/8,Mulonga,Chilufya,1963-11-21,M,Chingola,T001-Lusaka,C2E78D7086AC,26,False,,
REC00239,642491/54/3,Isaac,Moono,1948-12-31,M,Mazabuka,T003-Ndola,6C96A987022F,239,False,,
REC00773,467335/80/6,Kabwe,Mumba,1961-05-05,M,Ndola,T002-Kitwe,A28597D33FFE,773,False,,
REC00871,911152/36/3,Mwamba,Mbanga,1946-05-18,M,Livingstone,T002-Kitwe,B68E18EE02F4,871,False,,
REC00487,992952/54/8,Kondwani,Simamba,1976-03-28,F,Livingstone,T002-Kitwe,92C57C71D25E,487,False,,
REC00285,445637/48/1,Alinafe,Simuunza,1986-01-23,F,Mazabuka,T002-Kitwe,482F0E392C8A,285,False,,
REC00039,465962/18/4,Ezekiel,Phiri,1998-02-17,M,Chipata,T002-Kitwe,6E1137B0E7CD,39,False,,
REC00189,972097/46/2,Nkandu,Mutale,1976-12-07,F,Kafue,T003-Ndola,279DD6A068A6,189,False,,
REC00867,757258/69/1,Mubita,Ng'ombe,1976-10-13,M,Kitwe,T003-Ndola,6C408A710D72,867,False,,
REC00250,153063/47/7,Alinafe,Chisanga,2001-04-30,F,Mongu,T003-Ndola,ED69D12A403F,250,False,,
REC00636,943146/40/9,Katongo,Wina,1985-10-18,M,Kafue,T002-Kitwe,84E1B194FA9C,636,False,,
REC00868,410997/64/5,Monde,Sialubalo,2007-01-30,F,Mufulira,T003-Ndola,BAECC37B1BAE,868,False,,
REC00748,286906/30/5,Musonda,Musonda,1972-08-10,M,Mazabuka,T003-Ndola,2B6C88E93FD8,748,False,,
REC00554,987110/42/1,Namukolo,Ng'andu,1957-08-15,F,Kabwe,T002-Kitwe,7A4E1DE0FF1A,554,False,,
REC00968,929443/92/3,Mwanachitechi,Chinyama,1971-03-27,M,Mazabuka,T002-Kitwe,6B50D27DEA9E,29,True,Type2,REC00029
REC00981,309668/58/4,Simamba,Sata,1972-12-31,F,Kabwe,T002-Kitwe,5C51EA5A61DE,855,True,Type5,REC00855
REC00877,620438/29/4,Mwaka,Nkumbula,1996-09-27,F,Mazabuka,T003-Ndola,E707B615FE19,877,False,,
REC00393,857524/37/3,Gondwe,Simuunza,1978-07-05,M,Mufulira,T002-Kitwe,D894E661A4DA,393,False,,
REC00820,976042/37/2,Kapembwa,Libonda,1951-02-09,M,Kitwe,T003-Ndola,9D0E6E993F1E,820,False,,
REC00452,319869/41/2,Grace,Mulenga,1986-03-22,F,Chipata,T002-Kitwe,BCDC1FA20B0F,452,False,,
REC00904,161352/28/6,Sitwala,Ng'andu,1957-10-31,M,Choma,T002-Kitwe,ABC64CDBBF6C,904,False,,
REC00446,794303/60/2,Mwenya,Nyirenda,1946-10-22,F,Chipata,T002-Kitwe,A8FC11A14917,446,False,,
REC00595,370804/33/9,Banda,Mutale,1995-02-03,M,Mufulira,T002-Kitwe,56860AED592C,595,False,,
REC00188,469038/74/2,Kondwani,Siluwe,2004-12-22,F,Kabwe,T002-Kitwe,CDA99E2BC24B,188,False,,
REC00679,816412/73/9,Katuta,Kabwe,1962-12-31,M,Mufulira,T001-Lusaka,0B687DEE0EFC,679,False,,
REC00319,150871/10/7,Chilufya,Chilufya,1950-01-24,M,Kafue,T001-Lusaka,96144C95ECCA,319,False,,
REC00985,757258/69/1,Mubita,Ng'ombe,1976-10-13,M,Kitwe,T003-Ndola,276EC042CEFF,867,True,Type5,REC00867
REC00180,524068/91/7,Esther,Simamba,1958-07-28,F,Kitwe,T002-Kitwe,03208A3BA29F,180,False,,
REC00542,532794/87/9,Grace,Mwamba,1997-08-14,F,Kafue,T002-Kitwe,E6E3213C0C45,542,False,,
REC00782,780999/19/5,Chipo,Sakala,1960-02-14,F,Kabwe,T003-Ndola,BBB0C884495B,782,False,,
REC00269,301603/41/5,Dalitso,Kalumba,1966-07-30,F,Chipata,T003-Ndola,B61A94079096,269,False,,
REC00700,143182/50/9,Lubemba,Kamanga,1962-12-21,F,Ndola,T003-Ndola,A38A666700F6,700,False,,
REC00829,523533/18/9,Solomon,Sitwala,1970-11-23,M,Lusaka,T001-Lusaka,94A6645BAED7,829,False,,
REC00264,856215/89/7,Nchimunya,Sialubalo,1953-08-01,F,Kafue,T001-Lusaka,F14B80B94ACD,264,False,,
REC00408,946313/64/5,Mwaka,Bwalya,1979-12-17,F,Kitwe,T003-Ndola,F796FF298FF8,408,False,,
REC00411,102693/15/1,Zulu,Sata,1964-05-13,M,Lusaka,T001-Lusaka,C2C0732793A2,411,False,,
REC00284,600646/51/4,Chipo,Ng'ombe,1997-05-26,F,Chipata,T001-Lusaka,DDB3CBC0DCF6,284,False,,
REC00477,864201/63/2,Grace,Sakala,1985-11-04,F,Kabwe,T001-Lusaka,F40F4FE423CB,477,False,,
REC00596,571023/87/8,Namoonde,Kasonde,1990-08-01,M,Ndola,T002-Kitwe,82649A232723,596,False,,
REC00717,880550/30/1,Monde,Namoonde,1974-09-21,F,Mazabuka,T002-Kitwe,53497F7CC4ED,717,False,,
REC00388,755993/49/4,Nchimunya,Mutale,1974-06-16,F,Mazabuka,T002-Kitwe,4246910F47C5,388,False,,
REC00041,221035/23/9,Chipo,Mwamba,1986-04-15,F,Chipata,T001-Lusaka,A22C806AD92E,41,False,,
